,_id,_index,_score,_source.dev_id,_source.relative_humidity_3,_source.temperature_2,_source.time,_type
0,6773a49f-01af-40b9-b0be-2ce79558047a,coffee_sensors,1.0,aws-dev-01,89.0,16.0,2018-08-29T13:23:31.349073028Z,sensor
1,11544b35-1615-453a-8503-778398372ff6,coffee_sensors,1.0,aws-dev-01,96.0,15.0,2018-08-29T15:01:05.457510842Z,sensor
2,d4f325a1-1589-4108-b92a-8524b116a376,coffee_sensors,1.0,aws-dev-01,51.0,20.0,2018-08-30T11:26:30.606877205Z,sensor
3,648a43d5-bc33-4652-9e70-a67b63ce7520,coffee_sensors,1.0,aws-dev-01,71.0,20.0,2018-08-29T13:13:16.909485279Z,sensor
4,673c0a5a-9eec-48d1-bc48-05bf775aa94c,coffee_sensors,1.0,aws-dev-01,99.0,15.0,2018-08-29T14:45:36.98835166Z,sensor
5,65907737-504f-4dcf-a462-9a4f4ac1402e,coffee_sensors,1.0,aws-dev-01,,,2018-08-29T15:06:21.482137447Z,sensor
6,0a0cdd9d-a075-4ddb-8166-b249995c8027,coffee_sensors,1.0,aws-dev-01,,,2018-08-29T15:22:09.847586328Z,sensor
7,31dd3632-8f5f-4357-affa-b2e8def79e25,coffee_sensors,1.0,aws-dev-01,,,2018-08-29T15:59:02.615552943Z,sensor
8,48ad56a3-136f-4ae1-9685-b17765548a50,coffee_sensors,1.0,aws-dev-01,,,2018-08-30T12:15:22.896370595Z,sensor
9,4eb7f326-47bc-424a-9b6b-3d3a360d6fd0,coffee_sensors,1.0,aws-dev-01,,,2018-08-29T17:18:04.30903178Z,sensor
10,ab8a4e78-0746-47d3-abf0-a194b309a473,coffee_sensors,1.0,aws-dev-01,57.0,16.0,2018-08-30T15:56:29.080276383Z,sensor
11,bfcd884f-0fb8-4656-baa5-f2439977eb6b,coffee_sensors,1.0,aws-dev-01,57.0,16.0,2018-08-30T16:06:41.490111214Z,sensor
12,67f6e94d-48d4-4a8e-96c2-828879f66668,coffee_sensors,1.0,aws-dev-01,58.0,16.0,2018-08-30T16:16:56.894920877Z,sensor
13,c5d4d6a4-5bc2-462e-8114-e9b2e9d2e5cb,coffee_sensors,1.0,aws-dev-01,58.0,16.0,2018-08-30T16:47:52.534359851Z,sensor
14,80f65d09-4fb4-4bb6-8c17-885bd7bf1295,coffee_sensors,1.0,aws-dev-01,59.0,16.0,2018-08-30T16:58:19.664456394Z,sensor
15,a2122419-cf43-4aa6-b013-3ec3496d45d4,coffee_sensors,1.0,aws-dev-01,59.0,16.0,2018-08-30T17:18:53.398723183Z,sensor
16,2d6cc8a0-1db6-453c-9c29-6d6e7549b165,coffee_sensors,1.0,aws-dev-01,58.0,16.0,2018-08-30T17:23:59.609080401Z,sensor
17,9c00cc7b-7906-4777-9b60-a1b6f04a2f25,coffee_sensors,1.0,aws-dev-01,43.0,21.0,2018-08-30T12:51:27.73595474Z,sensor
18,282d4a5f-a0c1-4cc7-9de7-7c7f9b7686ca,coffee_sensors,1.0,aws-dev-01,,,2018-08-30T17:49:42.533844967Z,sensor
19,0ae9ccb5-6964-46e1-9b16-93e87211020f,coffee_sensors,1.0,aws-dev-01,56.0,15.0,2018-08-30T20:28:43.111452285Z,sensor
20,5e525ede-96fc-49a7-8ffa-771a09ae61a2,coffee_sensors,1.0,aws-dev-01,57.0,15.0,2018-08-30T20:44:13.737053353Z,sensor
21,8129cd3d-96cc-4935-982f-f0991c6ac2aa,coffee_sensors,1.0,aws-dev-01,65.0,14.0,2018-08-30T21:41:25.036121157Z,sensor
22,e9192cba-a018-4dba-8dce-5acc8e1539c9,coffee_sensors,1.0,aws-dev-01,69.0,12.0,2018-08-30T22:48:21.834150238Z,sensor
23,f6bf7a9e-e164-4cf5-9349-3d6befb98139,coffee_sensors,1.0,aws-dev-01,69.0,12.0,2018-08-30T23:45:00.052035739Z,sensor
24,0404e8fd-83e4-4d4e-9917-a54de80a5279,coffee_sensors,1.0,aws-dev-01,69.0,12.0,2018-08-31T00:00:18.839498495Z,sensor
25,3cc5f0d9-4b20-47f2-b930-bff7d3b54c3c,coffee_sensors,1.0,aws-dev-01,69.0,12.0,2018-08-31T00:36:41.143274352Z,sensor
26,be1adacf-29c7-4056-8461-5a4dd287a121,coffee_sensors,1.0,aws-dev-01,,,2018-08-30T21:20:44.990670204Z,sensor
27,3daba470-64ce-4f01-bd07-659b482cce34,coffee_sensors,1.0,aws-dev-01,,,2018-08-30T23:29:35.231147933Z,sensor
28,d33d2c4f-f69b-43f9-85b9-f69fc51e593b,coffee_sensors,1.0,aws-dev-01,70.0,12.0,2018-08-31T03:31:57.274837011Z,sensor
