"Series";"Time";"Value"
"soil_moisture";"2018-10-05T07:00:00+03:00";null
"soil_moisture";"2018-10-05T08:00:00+03:00";null
"soil_moisture";"2018-10-05T09:00:00+03:00";null
"soil_moisture";"2018-10-05T10:00:00+03:00";null
"soil_moisture";"2018-10-05T11:00:00+03:00";null
"soil_moisture";"2018-10-05T12:00:00+03:00";null
"soil_moisture";"2018-10-05T13:00:00+03:00";null
"soil_moisture";"2018-10-05T14:00:00+03:00";null
"soil_moisture";"2018-10-05T15:00:00+03:00";null
"soil_moisture";"2018-10-05T16:00:00+03:00";null
"soil_moisture";"2018-10-05T17:00:00+03:00";-0.405
"soil_moisture";"2018-10-05T18:00:00+03:00";-0.443
"soil_moisture";"2018-10-05T19:00:00+03:00";29.56
"soil_moisture";"2018-10-05T20:00:00+03:00";29.91
"soil_moisture";"2018-10-05T21:00:00+03:00";29.33
"soil_moisture";"2018-10-05T22:00:00+03:00";30.68
"soil_moisture";"2018-10-05T23:00:00+03:00";29.83
"soil_moisture";"2018-10-06T00:00:00+03:00";30.88
"soil_moisture";"2018-10-06T01:00:00+03:00";31.385
"soil_moisture";"2018-10-06T02:00:00+03:00";31.89
"soil_moisture";"2018-10-06T03:00:00+03:00";30.545
"soil_moisture";"2018-10-06T04:00:00+03:00";31.65
"soil_moisture";"2018-10-06T05:00:00+03:00";30.41
"soil_moisture";"2018-10-06T06:00:00+03:00";31.65
"soil_moisture";"2018-10-06T07:00:00+03:00";31.58
"soil_moisture";"2018-10-06T08:00:00+03:00";66.31
"soil_moisture";"2018-10-06T09:00:00+03:00";72.21
"soil_moisture";"2018-10-06T10:00:00+03:00";71.3
"soil_moisture";"2018-10-06T11:00:00+03:00";67.88
"soil_moisture";"2018-10-06T12:00:00+03:00";64.35
"soil_moisture";"2018-10-06T13:00:00+03:00";65.91
"soil_moisture";"2018-10-06T14:00:00+03:00";63.04
"soil_moisture";"2018-10-06T15:00:00+03:00";63.14
"soil_moisture";"2018-10-06T16:00:00+03:00";62.39
"soil_moisture";"2018-10-06T17:00:00+03:00";62.69
"soil_moisture";"2018-10-06T18:00:00+03:00";63.295
"soil_moisture";"2018-10-06T19:00:00+03:00";63.9
"soil_moisture";"2018-10-06T20:00:00+03:00";63.545
"soil_moisture";"2018-10-06T21:00:00+03:00";63.19
"soil_moisture";"2018-10-06T22:00:00+03:00";62.64
"soil_moisture";"2018-10-06T23:00:00+03:00";61.68
"soil_moisture";"2018-10-07T00:00:00+03:00";61.08
"soil_moisture";"2018-10-07T01:00:00+03:00";60.42
"soil_moisture";"2018-10-07T02:00:00+03:00";60.32
"soil_moisture";"2018-10-07T03:00:00+03:00";60.07
"soil_moisture";"2018-10-07T04:00:00+03:00";60.07
"soil_moisture";"2018-10-07T05:00:00+03:00";62.74
"soil_moisture";"2018-10-07T06:00:00+03:00";62.54
"soil_moisture";"2018-10-07T07:00:00+03:00";61.83
"soil_moisture";"2018-10-07T08:00:00+03:00";60.52
"soil_moisture";"2018-10-07T09:00:00+03:00";60.47
"soil_moisture";"2018-10-07T10:00:00+03:00";62.94
"soil_moisture";"2018-10-07T11:00:00+03:00";61.68
"soil_moisture";"2018-10-07T12:00:00+03:00";60.27
"soil_moisture";"2018-10-07T13:00:00+03:00";58.71
"soil_moisture";"2018-10-07T14:00:00+03:00";60.47
"soil_moisture";"2018-10-07T15:00:00+03:00";59.41
"soil_moisture";"2018-10-07T16:00:00+03:00";59.41
"soil_moisture";"2018-10-07T17:00:00+03:00";59.16
"soil_moisture";"2018-10-07T18:00:00+03:00";58.66
"soil_moisture";"2018-10-07T19:00:00+03:00";59.995
"soil_moisture";"2018-10-07T20:00:00+03:00";61.33
"soil_moisture";"2018-10-07T21:00:00+03:00";60.17
"soil_moisture";"2018-10-07T22:00:00+03:00";58.2
"soil_moisture";"2018-10-07T23:00:00+03:00";60.32
"soil_moisture";"2018-10-08T00:00:00+03:00";60.02
"soil_moisture";"2018-10-08T01:00:00+03:00";59.11
"soil_moisture";"2018-10-08T02:00:00+03:00";59.92
"soil_moisture";"2018-10-08T03:00:00+03:00";60.07
"soil_moisture";"2018-10-08T04:00:00+03:00";60.62
"soil_moisture";"2018-10-08T05:00:00+03:00";60.87
"soil_moisture";"2018-10-08T06:00:00+03:00";62.94
"soil_moisture";"2018-10-08T07:00:00+03:00";62.69
"soil_moisture";"2018-10-08T08:00:00+03:00";62.49
"soil_moisture";"2018-10-08T09:00:00+03:00";63.69
"soil_moisture";"2018-10-08T10:00:00+03:00";61.13
"soil_moisture";"2018-10-08T11:00:00+03:00";60.743
"soil_moisture";"2018-10-08T12:00:00+03:00";60.357
"soil_moisture";"2018-10-08T13:00:00+03:00";59.97
"soil_moisture";"2018-10-08T14:00:00+03:00";59.583
"soil_moisture";"2018-10-08T15:00:00+03:00";59.197
"soil_moisture";"2018-10-08T16:00:00+03:00";58.81
"soil_moisture";"2018-10-08T17:00:00+03:00";58.2
"soil_moisture";"2018-10-08T18:00:00+03:00";58.1
"soil_moisture";"2018-10-08T19:00:00+03:00";58
"soil_moisture";"2018-10-08T20:00:00+03:00";57.9
"soil_moisture";"2018-10-08T21:00:00+03:00";60.27
"soil_moisture";"2018-10-08T22:00:00+03:00";59.87
"soil_moisture";"2018-10-08T23:00:00+03:00";58.66
"soil_moisture";"2018-10-09T00:00:00+03:00";58.2
"soil_moisture";"2018-10-09T01:00:00+03:00";57.25
"soil_moisture";"2018-10-09T02:00:00+03:00";57.2
"soil_moisture";"2018-10-09T03:00:00+03:00";60.07
"soil_moisture";"2018-10-09T04:00:00+03:00";60.07
"soil_moisture";"2018-10-09T05:00:00+03:00";59.77
"soil_moisture";"2018-10-09T06:00:00+03:00";59.67
"soil_moisture";"2018-10-09T07:00:00+03:00";56.79
"soil_moisture";"2018-10-09T08:00:00+03:00";58.66
"soil_moisture";"2018-10-09T09:00:00+03:00";59.97
"soil_moisture";"2018-10-09T10:00:00+03:00";57.25
"soil_moisture";"2018-10-09T11:00:00+03:00";58.51
"soil_moisture";"2018-10-09T12:00:00+03:00";57.95
"soil_moisture";"2018-10-09T13:00:00+03:00";58
"soil_moisture";"2018-10-09T14:00:00+03:00";58.155
"soil_moisture";"2018-10-09T15:00:00+03:00";59.36
"soil_moisture";"2018-10-09T16:00:00+03:00";59.26
"soil_moisture";"2018-10-09T17:00:00+03:00";58.71
"soil_moisture";"2018-10-09T18:00:00+03:00";59.51
"soil_moisture";"2018-10-09T19:00:00+03:00";56.84
"soil_moisture";"2018-10-09T20:00:00+03:00";58.05
"soil_moisture";"2018-10-09T21:00:00+03:00";57.25
"soil_moisture";"2018-10-09T22:00:00+03:00";58.26
"soil_moisture";"2018-10-09T23:00:00+03:00";55.99
"soil_moisture";"2018-10-10T00:00:00+03:00";49.05
"soil_moisture";"2018-10-10T01:00:00+03:00";45.7
"soil_moisture";"2018-10-10T02:00:00+03:00";40.89
"soil_moisture";"2018-10-10T03:00:00+03:00";36.42
"soil_moisture";"2018-10-10T04:00:00+03:00";28.63
"soil_moisture";"2018-10-10T05:00:00+03:00";21.08
"soil_moisture";"2018-10-10T06:00:00+03:00";20.92
"soil_moisture";"2018-10-10T07:00:00+03:00";12.86
"soil_moisture";"2018-10-10T08:00:00+03:00";11.22
"soil_moisture";"2018-10-10T09:00:00+03:00";9.49
"soil_moisture";"2018-10-10T10:00:00+03:00";null
"soil_moisture";"2018-10-10T11:00:00+03:00";null
"soil_moisture";"2018-10-10T12:00:00+03:00";null
"soil_moisture";"2018-10-10T13:00:00+03:00";null
